component,explained_variance_ratio,cumulative_variance
62,0.0017738098712001776,0.8987736558748634
63,0.001760850739730073,0.9005345066145934
64,0.0017328390856662479,0.9022673457002597
65,0.0017073831739909371,0.9039747288742506
66,0.0016854807289951657,0.9056602096032458
67,0.0016561492930364395,0.9073163588962823
68,0.0016310244820138015,0.9089473833782961
69,0.0015843678220619631,0.910531751200358
70,0.001574975422474946,0.912106726622833
71,0.0015302290200465034,0.9136369556428795
72,0.0015220524727766467,0.9151590081156561
73,0.0014813915110610141,0.9166403996267171
74,0.0014607147620310575,0.9181011143887481
75,0.0014467052553657463,0.9195478196441138
76,0.0014275373776374183,0.9209753570217513
77,0.001386565388650961,0.9223619224104023
78,0.001355916948650007,0.9237178393590523
79,0.0013470554846847635,0.925064894843737
80,0.0013307815767436245,0.9263956764204806
81,0.0013081554973618092,0.9277038319178424
82,0.001302407393251307,0.9290062393110937
83,0.0012822986379857834,0.9302885379490795
84,0.001249947980419756,0.9315384859294993
85,0.0012297448295614435,0.9327682307590607
86,0.0012155296005615995,0.9339837603596223
87,0.001191704723640921,0.9351754650832632
88,0.001174364967866976,0.9363498300511301
89,0.0011528370191327762,0.937502667070263
90,0.0011314745480001524,0.9386341416182631
91,0.0011059205440342769,0.9397400621622973
92,0.0010932667634531898,0.9408333289257506
93,0.0010792182295467688,0.9419125471552974
94,0.001059836111049026,0.9429723832663464
95,0.0010271177861587513,0.9439995010525051
96,0.0010208644201560924,0.9450203654726612
97,0.001007220798684367,0.9460275862713455
98,0.000984274128868364,0.9470118604002139
99,0.0009647683282562917,0.9479766287284702
100,0.0009384112095006423,0.9489150399379709
101,0.0009233867483810919,0.949838426686352
102,0.0009173953390608818,0.9507558220254129
103,0.0008988933798162224,0.9516547154052291
104,0.0008949955899945922,0.9525497109952237
105,0.0008751763930502167,0.9534248873882739
106,0.000870466802007448,0.9542953541902813
107,0.0008585000248788142,0.9551538542151602
108,0.0008347890742551111,0.9559886432894154
109,0.0008275575578061956,0.9568162008472215
110,0.0008263552411365302,0.957642556088358
111,0.0008115349760654051,0.9584540910644235
112,0.0007982727451425615,0.959252363809566
113,0.0007728187891852983,0.9600251825987514
114,0.0007582138014058198,0.9607833964001572
115,0.0007505133831432131,0.9615339097833004
116,0.0007281363000682821,0.9622620460833687
117,0.0007181483718786032,0.9629801944552473
118,0.0007099669026534109,0.9636901613579008
119,0.0006978540175888405,0.9643880153754896
120,0.0006787050808467588,0.9650667204563363
121,0.0006643750118423337,0.9657310954681787
122,0.0006502696565840102,0.9663813651247627
123,0.0006398551985988954,0.9670212203233616
124,0.0006307963014126885,0.9676520166247743
125,0.0006214377308866399,0.9682734543556609
126,0.0006153895783995353,0.9688888439340605
127,0.0006024316739797207,0.9694912756080403
128,0.0005969963210407323,0.970088271929081
129,0.0005828915735221232,0.9706711635026031
130,0.0005756543429964249,0.9712468178455995
131,0.0005644852438764369,0.9718113030894759
132,0.0005574715827802888,0.9723687746722562
133,0.0005456185422597581,0.972914393214516
134,0.0005393411763721914,0.9734537343908882
135,0.0005293183236130085,0.9739830527145013
136,0.0005257141575190539,0.9745087668720203
137,0.000515133326125641,0.9750239001981459
138,0.0005051751127353141,0.9755290753108812
139,0.0005022203962924292,0.9760312957071736
140,0.0004889062403709624,0.9765202019475446
141,0.00048491984602978475,0.9770051217935745
142,0.00047468503989585477,0.9774798068334704
143,0.00046958525799854165,0.9779493920914689
144,0.0004611187825376031,0.9784105108740065
145,0.0004603038008720777,0.9788708146748786
146,0.0004502496007777511,0.9793210642756563
147,0.0004426941198449845,0.9797637583955013
148,0.00043764853253384385,0.9802014069280351
149,0.0004296937619832211,0.9806311006900184
150,0.0004226326596996256,0.981053733349718
151,0.00041620974386911427,0.9814699430935871
